season,week,contestant_id,celebrity_name,ballroom_partner,J_total,p_hat,V_hat,eliminated,uncertainty_width
2,4,13,Master P,Ashly DelGrosso,8.0,0.04750618396946869,475061.83969468693,1,0.023364714566874542
2,4,14,Drew Lachey,Cheryl Burke,28.0,0.03184434742539181,318443.47425391804,0,0.0
2,5,7,Tia Carrere,Maksim Chmerkoskiy,22.0,0.049068746170242254,490687.46170242253,1,0.0
2,5,8,George Hamilton,Edyta Sliwinska,24.0,0.16291397453728548,1629139.7453728549,0,0.0
2,5,9,Lisa Rinna,Louis van Amstel,25.0,0.10920450291168218,1092045.029116822,0,0.0
2,5,10,Stacy Keibler,Tony Dovolani,30.0,0.07320196741905792,732019.6741905792,0,0.0
2,5,11,Jerry Rice,Anna Trebunskaya,23.0,0.36257171815610867,3625717.181561087,0,0.0
2,5,14,Drew Lachey,Cheryl Burke,27.0,0.24303909080562355,2430390.9080562354,0,0.0
2,6,8,George Hamilton,Edyta Sliwinska,23.0,0.17132045442945495,1713204.5442945496,1,0.0
2,6,9,Lisa Rinna,Louis van Amstel,27.0,0.1148395348999989,1148395.348999989,0,0.0
2,6,10,Stacy Keibler,Tony Dovolani,30.0,0.07697924232087869,769792.4232087869,0,0.0
2,6,11,Jerry Rice,Anna Trebunskaya,23.0,0.38128068322068076,3812806.8322068076,0,0.0
2,6,14,Drew Lachey,Cheryl Burke,30.0,0.2555800851289867,2555800.8512898674,0,0.0
2,7,9,Lisa Rinna,Louis van Amstel,26.5,0.1856084524688585,1856084.524688585,1,0.0
2,7,10,Stacy Keibler,Tony Dovolani,27.5,0.12441706640352901,1244170.66403529,0,0.0
2,7,11,Jerry Rice,Anna Trebunskaya,20.5,0.4130792076435935,4130792.076435935,0,0.0
2,7,14,Drew Lachey,Cheryl Burke,27.5,0.276895273484019,2768952.73484019,0,0.0
2,8,10,Stacy Keibler,Tony Dovolani,28.6665,0.21198272070752774,2119827.2070752773,0,0.0
2,8,11,Jerry Rice,Anna Trebunskaya,26.666600000000003,0.4717762210677908,4717762.210677908,0,0.0
2,8,14,Drew Lachey,Cheryl Burke,28.9998,0.31624105822468146,3162410.5822468144,0,0.0
3,1,16,Harry Hamlin,Ashly DelGrosso,17.0,0.06245511587084962,624551.1587084963,0,1.0
3,1,17,Vivica A. Fox,Nick Kosovich,22.0,0.09757132209600501,975713.2209600501,0,1.0
3,1,18,Monique Coleman,Louis van Amstel,19.0,0.07053229648558362,705322.9648558362,0,1.0
3,1,19,Joey Lawrence,Edyta Sliwinska,21.0,0.08558817274681713,855881.7274681713,0,1.0
3,1,20,Mario Lopez,Karina Smirnoff,26.0,0.21106158145190462,2110615.8145190463,0,1.0
3,1,21,Emmitt Smith,Cheryl Burke,24.0,0.13736329580749437,1373632.9580749436,0,1.0
3,1,22,Shanna Moakler,Jesse DeSoto,18.0,0.0658227550008125,658227.550008125,0,1.0
3,1,23,Willa Ford,Maksim Chmerkoskiy,22.0,0.09757132186043761,975713.2186043761,0,1.0
3,1,24,Sara Evans,Tony Dovolani,15.0,0.05780862672258341,578086.2672258341,0,1.0
3,1,25,Jerry Springer,Kym Johnson,16.0,0.05975781482348256,597578.1482348256,0,1.0
3,1,26,Tucker Carlson,Elena Grinenko,12.0,0.0544676971340295,544676.9713402949,1,0.1252144082332762
3,2,16,Harry Hamlin,Ashly DelGrosso,21.0,0.054432112500072745,544321.1250007275,0,0.9739130434782609
3,2,17,Vivica A. Fox,Nick Kosovich,24.0,0.08528185494890277,852818.5494890277,0,0.9739130434782609
3,2,18,Monique Coleman,Louis van Amstel,26.0,0.10938105904564374,1093810.5904564373,0,0.9739130434782609
3,2,19,Joey Lawrence,Edyta Sliwinska,29.0,0.31747461859487,3174746.1859486997,0,0.9739130434782609
3,2,20,Mario Lopez,Karina Smirnoff,21.0,0.09366374877570849,936637.4877570849,0,0.9739130434782609
3,2,21,Emmitt Smith,Cheryl Burke,24.0,0.10300824354677843,1030082.4354677843,0,0.9739130434782609
3,2,22,Shanna Moakler,Jesse DeSoto,22.0,0.048093863169170886,480938.63169170887,1,0.10434782608695649
3,2,23,Willa Ford,Maksim Chmerkoskiy,23.0,0.07414128387855273,741412.8387855273,0,0.9739130434782609
3,2,24,Sara Evans,Tony Dovolani,21.0,0.05338587411025972,533858.7411025972,0,0.9739130434782609
3,2,25,Jerry Springer,Kym Johnson,19.0,0.06113734143004046,611373.4143004046,0,0.9739130434782609
3,3,16,Harry Hamlin,Ashly DelGrosso,22.0,0.05276733504015303,527673.3504015303,1,0.11594202898550726
3,3,17,Vivica A. Fox,Nick Kosovich,27.0,0.2075021782255397,2075021.7822553972,0,0.9806763285024155
3,3,18,Monique Coleman,Louis van Amstel,27.0,0.2404263272584681,2404263.272584681,0,0.9806763285024155
3,3,19,Joey Lawrence,Edyta Sliwinska,22.0,0.1496688237777306,1496688.237777306,0,0.9806763285024155
3,3,20,Mario Lopez,Karina Smirnoff,22.0,0.07043969453983233,704396.9453983232,0,0.9806763285024155
3,3,21,Emmitt Smith,Cheryl Burke,19.0,0.06726008866334142,672600.8866334142,0,0.9806763285024155
3,3,23,Willa Ford,Maksim Chmerkoskiy,22.0,0.06480386967461539,648038.6967461539,0,0.9806763285024155
3,3,24,Sara Evans,Tony Dovolani,25.0,0.08953342990577018,895334.2990577018,0,0.9806763285024155
3,3,25,Jerry Springer,Kym Johnson,21.0,0.05759825291454917,575982.5291454917,0,0.9806763285024155
3,4,17,Vivica A. Fox,Nick Kosovich,24.0,0.07053336638070533,705333.6638070532,1,0.12878787878787878
3,4,18,Monique Coleman,Louis van Amstel,24.0,0.14148118665129913,1414811.8665129913,0,0.9696969696969696
3,4,19,Joey Lawrence,Edyta Sliwinska,27.0,0.18460725324339558,1846072.5324339557,0,0.9696969696969696
3,4,20,Mario Lopez,Karina Smirnoff,29.0,0.21021186566924982,2102118.6566924984,0,0.9696969696969696
3,4,21,Emmitt Smith,Cheryl Burke,24.0,0.07251933274941098,725193.3274941099,0,0.9696969696969696
3,4,23,Willa Ford,Maksim Chmerkoskiy,28.0,0.14927723224149844,1492772.3224149845,0,0.9696969696969696
3,4,24,Sara Evans,Tony Dovolani,20.0,0.09073538658272544,907353.8658272544,0,0.9696969696969696
3,4,25,Jerry Springer,Kym Johnson,22.0,0.08063437648171541,806343.7648171542,0,0.9696969696969697
3,5,18,Monique Coleman,Louis van Amstel,27.0,0.19364470817431678,1936447.0817431677,0,0.9558011049723756
3,5,19,Joey Lawrence,Edyta Sliwinska,25.0,0.11014018219555724,1101401.8219555723,0,0.9558011049723756
3,5,20,Mario Lopez,Karina Smirnoff,27.0,0.24778876900261226,2477887.6900261226,0,0.9558011049723756
3,5,21,Emmitt Smith,Cheryl Burke,27.0,0.13363790339729242,1336379.0339729243,0,0.9558011049723756
3,5,23,Willa Ford,Maksim Chmerkoskiy,27.0,0.0938797553198343,938797.5531983429,1,0.13654301499605365
3,5,24,Sara Evans,Tony Dovolani,24.0,0.11045434095519341,1104543.409551934,0,0.9558011049723756
3,5,25,Jerry Springer,Kym Johnson,24.0,0.11045434095519348,1104543.4095519348,0,0.9558011049723756
3,6,18,Monique Coleman,Louis van Amstel,23.0,0.15353098175746366,1535309.8175746365,0,1.0
3,6,19,Joey Lawrence,Edyta Sliwinska,24.0,0.12549322558952067,1254932.2558952067,0,1.0
3,6,20,Mario Lopez,Karina Smirnoff,28.0,0.4767595806404292,4767595.806404293,0,1.0
3,6,21,Emmitt Smith,Cheryl Burke,25.0,0.16634937434374925,1663493.7434374925,0,1.0
3,6,25,Jerry Springer,Kym Johnson,18.0,0.0778668376688372,778668.376688372,0,1.0
3,7,18,Monique Coleman,Louis van Amstel,27.0,0.13578683802093616,1357868.3802093617,0,1.0
3,7,19,Joey Lawrence,Edyta Sliwinska,28.5,0.19165315352043633,1916531.5352043633,0,1.0
3,7,20,Mario Lopez,Karina Smirnoff,28.0,0.38289613947141166,3828961.3947141166,0,1.0
3,7,21,Emmitt Smith,Cheryl Burke,28.5,0.226064023285982,2260640.23285982,0,1.0
3,7,25,Jerry Springer,Kym Johnson,23.0,0.06359984570123381,635998.4570123381,1,0.22962962962962963
3,8,18,Monique Coleman,Louis van Amstel,26.5,0.08563366320443101,856336.6320443101,1,0.25688073394495414
3,8,19,Joey Lawrence,Edyta Sliwinska,27.0,0.12291319804289462,1229131.9804289462,0,1.0
3,8,20,Mario Lopez,Karina Smirnoff,28.5,0.6546284224996264,6546284.224996264,0,1.0
3,8,21,Emmitt Smith,Cheryl Burke,27.0,0.13682471625304796,1368247.1625304795,0,1.0
3,9,19,Joey Lawrence,Edyta Sliwinska,29.5,0.20153728348547809,2015372.834854781,0,1.0
3,9,20,Mario Lopez,Karina Smirnoff,29.5,0.5842008943073126,5842008.943073126,0,1.0
3,9,21,Emmitt Smith,Cheryl Burke,29.5,0.21426182220720935,2142618.2220720933,0,1.0
3,10,20,Mario Lopez,Karina Smirnoff,29.666600000000003,0.6567337253974022,6567337.253974021,0,1.0
3,10,21,Emmitt Smith,Cheryl Burke,29.666600000000003,0.34326627460259784,3432662.7460259786,0,1.0
4,1,27,John Ratzenberger,Edyta Sliwinska,17.0,0.06274953742780014,627495.3742780014,0,1.0
4,1,28,Ian Ziering,Cheryl Burke,21.0,0.09846409601559865,984640.9601559865,0,1.0
4,1,29,Clyde Drexler,Elena Grinenko,16.0,0.05964636292483327,596463.6292483327,0,1.0
4,1,30,Laila Ali,Maksim Chmerkoskiy,23.0,0.1530938447786111,1530938.447786111,0,1.0
4,1,31,Apolo Anton Ohno,Julianne Hough,21.0,0.09846409502352207,984640.9502352207,0,1.0
4,1,32,Shandi Finnessey,Brian Fortuna,19.0,0.07394440126686998,739444.0126686997,0,1.0
4,1,33,Paulina Porizkova,Alec Mazo,19.0,0.07394439990842495,739443.9990842495,0,1.0
4,1,34,Heather Mills,Jonathan Roberts,18.0,0.06730699746644132,673069.9746644133,0,1.0
4,1,35,Billy Ray Cyrus,Karina Smirnoff,13.0,0.0546612582704638,546612.582704638,0,1.0
4,1,36,Joey Fatone,Kym Johnson,24.0,0.20040502014976225,2004050.2014976225,0,1.0
4,1,37,Leeza Gibbons,Tony Dovolani,15.0,0.05731998676767246,573199.8676767246,0,1.0
4,2,27,John Ratzenberger,Edyta Sliwinska,21.0,0.05153018656230877,515301.8656230877,0,0.983673469387755
4,2,28,Ian Ziering,Cheryl Burke,22.0,0.06420921702824754,642092.1702824754,0,0.983673469387755
4,2,29,Clyde Drexler,Elena Grinenko,18.0,0.05643540104078172,564354.0104078172,0,0.983673469387755
4,2,30,Laila Ali,Maksim Chmerkoskiy,27.0,0.2766125284859135,2766125.284859135,0,0.983673469387755
4,2,31,Apolo Anton Ohno,Julianne Hough,26.0,0.1483090564559856,1483090.564559856,0,0.983673469387755
4,2,32,Shandi Finnessey,Brian Fortuna,20.0,0.05127886677918038,512788.6677918038,0,0.983673469387755
4,2,33,Paulina Porizkova,Alec Mazo,21.0,0.04419050308159806,441905.03081598063,1,0.09610389610389611
4,2,34,Heather Mills,Jonathan Roberts,24.0,0.07233676942820658,723367.6942820657,0,0.983673469387755
4,2,35,Billy Ray Cyrus,Karina Smirnoff,21.0,0.049830894453440584,498308.94453440583,0,0.983673469387755
4,2,36,Joey Fatone,Kym Johnson,24.0,0.13483594376874067,1348359.4376874068,0,0.983673469387755
4,2,37,Leeza Gibbons,Tony Dovolani,21.0,0.0504306329155966,504306.329155966,0,0.983673469387755
4,3,27,John Ratzenberger,Edyta Sliwinska,20.0,0.05524907670891036,552490.7670891036,0,0.9724770642201835
4,3,28,Ian Ziering,Cheryl Burke,24.0,0.11120654605297628,1112065.4605297628,0,0.9724770642201835
4,3,29,Clyde Drexler,Elena Grinenko,16.0,0.06709515777875046,670951.5777875045,0,0.9724770642201835
4,3,30,Laila Ali,Maksim Chmerkoskiy,21.0,0.14010588866353343,1401058.8866353342,0,0.9724770642201835
4,3,31,Apolo Anton Ohno,Julianne Hough,23.0,0.13594540587450846,1359454.0587450846,0,0.9724770642201835
4,3,32,Shandi Finnessey,Brian Fortuna,21.0,0.044159377962236714,441593.7796223671,1,0.10366972477064222
4,3,34,Heather Mills,Jonathan Roberts,24.0,0.11833729178812333,1183372.9178812334,0,0.9724770642201835
4,3,35,Billy Ray Cyrus,Karina Smirnoff,21.0,0.05911162414600473,591116.2414600473,0,0.9724770642201835
4,3,36,Joey Fatone,Kym Johnson,24.0,0.16993955663816307,1699395.5663816307,0,0.9724770642201835
4,3,37,Leeza Gibbons,Tony Dovolani,24.0,0.09885007438679311,988500.7438679311,0,0.9724770642201835
4,4,27,John Ratzenberger,Edyta Sliwinska,16.0,0.053957504565604913,539575.0456560492,0,0.9947368421052631
4,4,28,Ian Ziering,Cheryl Burke,24.0,0.11229893413126144,1122989.3413126143,0,0.9947368421052631
4,4,29,Clyde Drexler,Elena Grinenko,15.0,0.05922066246034176,592206.6246034176,0,0.9947368421052631
4,4,30,Laila Ali,Maksim Chmerkoskiy,21.0,0.09234342040389912,923434.2040389911,0,0.9947368421052631
4,4,31,Apolo Anton Ohno,Julianne Hough,26.0,0.17293735817161304,1729373.5817161305,0,0.9947368421052631
4,4,34,Heather Mills,Jonathan Roberts,23.0,0.10256794386185072,1025679.4386185072,0,0.9947368421052631
4,4,35,Billy Ray Cyrus,Karina Smirnoff,21.0,0.06365426190769978,636542.6190769979,0,0.9947368421052631
4,4,36,Joey Fatone,Kym Johnson,28.0,0.2890624099321243,2890624.099321243,0,0.9947368421052631
4,4,37,Leeza Gibbons,Tony Dovolani,16.0,0.053957504565604913,539575.0456560492,1,0.13801169590643272
4,5,27,John Ratzenberger,Edyta Sliwinska,18.0,0.056163507773022106,561635.0777302211,0,1.0
4,5,28,Ian Ziering,Cheryl Burke,24.0,0.10262286775208226,1026228.6775208226,0,1.0
4,5,29,Clyde Drexler,Elena Grinenko,13.0,0.052629833545325,526298.33545325,1,0.17613636363636362
4,5,30,Laila Ali,Maksim Chmerkoskiy,28.0,0.14785075431618186,1478507.5431618185,0,1.0
4,5,31,Apolo Anton Ohno,Julianne Hough,30.0,0.29277492116066384,2927749.2116066385,0,1.0
4,5,34,Heather Mills,Jonathan Roberts,21.0,0.07845120327749137,784512.0327749137,0,1.0
4,5,35,Billy Ray Cyrus,Karina Smirnoff,17.0,0.05704692731257322,570469.2731257322,0,1.0
4,5,36,Joey Fatone,Kym Johnson,25.0,0.2124599848626604,2124599.848626604,0,1.0
4,6,27,John Ratzenberger,Edyta Sliwinska,19.0,0.07123913894375605,712391.3894375606,0,0.9647058823529412
4,6,28,Ian Ziering,Cheryl Burke,24.0,0.08285372744410725,828537.2744410725,0,0.9647058823529412
4,6,30,Laila Ali,Maksim Chmerkoskiy,28.0,0.2068168344932406,2068168.344932406,0,0.9647058823529412
4,6,31,Apolo Anton Ohno,Julianne Hough,28.0,0.32276947156995445,3227694.7156995446,0,0.9647058823529412
4,6,34,Heather Mills,Jonathan Roberts,23.0,0.047709727179050185,477097.27179050184,1,0.15042016806722686
4,6,35,Billy Ray Cyrus,Karina Smirnoff,21.0,0.05947443306140314,594744.3306140314,0,0.9647058823529412
4,6,36,Joey Fatone,Kym Johnson,27.0,0.20913666730848832,2091366.6730848833,0,0.9647058823529412
4,7,27,John Ratzenberger,Edyta Sliwinska,22.5,0.05038243503578143,503824.3503578143,1,0.18770226537216828
4,7,28,Ian Ziering,Cheryl Burke,27.0,0.101785778528322,1017857.78528322,0,0.9773462783171522
4,7,30,Laila Ali,Maksim Chmerkoskiy,29.5,0.2686547955396599,2686547.9553965987,0,0.9773462783171522
4,7,31,Apolo Anton Ohno,Julianne Hough,27.0,0.2355373821515524,2355373.821515524,0,0.9773462783171522
4,7,35,Billy Ray Cyrus,Karina Smirnoff,19.0,0.07303615671862933,730361.5671862933,0,0.9773462783171522
4,7,36,Joey Fatone,Kym Johnson,29.5,0.27060345202605496,2706034.5202605496,0,0.9773462783171522
4,8,28,Ian Ziering,Cheryl Burke,23.5,0.08698026555623628,869802.6555623628,0,1.0
4,8,30,Laila Ali,Maksim Chmerkoskiy,26.5,0.22952085670928998,2295208.5670928997,0,1.0
4,8,31,Apolo Anton Ohno,Julianne Hough,29.0,0.3444628226659937,3444628.2266599373,0,1.0
4,8,35,Billy Ray Cyrus,Karina Smirnoff,19.0,0.06286028362598159,628602.8362598158,1,0.248605577689243
4,8,36,Joey Fatone,Kym Johnson,27.5,0.2761757714424984,2761757.714424984,0,1.0
4,9,28,Ian Ziering,Cheryl Burke,29.0,0.07180146320314856,718014.6320314857,1,0.2552742616033755
4,9,30,Laila Ali,Maksim Chmerkoskiy,30.0,0.3360623094570939,3360623.0945709394,0,1.0
4,9,31,Apolo Anton Ohno,Julianne Hough,29.5,0.2149086704262197,2149086.704262197,0,1.0
4,9,36,Joey Fatone,Kym Johnson,30.0,0.3772275569135378,3772275.569135378,0,1.0
4,10,30,Laila Ali,Maksim Chmerkoskiy,28.333200000000005,0.18128117815143727,1812811.7815143727,0,1.0
4,10,31,Apolo Anton Ohno,Julianne Hough,29.3332,0.5541635206417564,5541635.206417564,0,1.0
4,10,36,Joey Fatone,Kym Johnson,28.6665,0.2645553012068062,2645553.012068062,0,1.0
5,1,38,Cameron Mathison,Edyta Sliwinska,21.0,0.06404811250629308,640481.1250629309,0,1.0
5,1,39,Jane Seymour,Tony Dovolani,24.0,0.10256987372023396,1025698.7372023396,0,1.0
5,1,40,Sabrina Bryan,Mark Ballas,26.0,0.18031650334364824,1803165.0334364823,0,1.0
5,1,41,Jennie Garth,Derek Hough,21.0,0.06404811703368557,640481.1703368557,0,1.0
5,1,42,Floyd Mayweather Jr. ,Karina Smirnoff,18.0,0.05388893926863605,538889.3926863605,0,1.0
5,1,43,Josie Maran,Alec Mazo,16.0,0.05145086733459119,514508.6733459119,1,0.10440985732814523
5,1,44,Albert Reed,Anna Trebunskaya,21.0,0.06404811435981922,640481.1435981921,0,1.0
5,1,45,Helio Castroneves,Julianne Hough,25.0,0.13295062760950996,1329506.2760950995,0,1.0
5,1,46,Mel B,Maksim Chmerkoskiy,24.0,0.10256987397330829,1025698.7397330828,0,1.0
5,1,47,Wayne Newton,Cheryl Burke,19.0,0.05601275717420229,560127.5717420229,0,1.0
5,1,48,Marie Osmond,Jonathan Roberts,21.0,0.06404811435981941,640481.1435981941,0,1.0
5,1,49,Mark Cuban,Kym Johnson,21.0,0.06404809931625281,640480.9931625281,0,1.0
5,2,38,Cameron Mathison,Edyta Sliwinska,21.0,0.05620152057457583,562015.2057457583,0,0.9621848739495799
5,2,39,Jane Seymour,Tony Dovolani,21.0,0.06680961159369721,668096.1159369721,0,0.9621848739495799
5,2,40,Sabrina Bryan,Mark Ballas,26.0,0.2187406274985642,2187406.274985642,0,0.9621848739495799
5,2,41,Jennie Garth,Derek Hough,21.0,0.056201521501747384,562015.2150174738,0,0.9621848739495799
5,2,42,Floyd Mayweather Jr. ,Karina Smirnoff,21.0,0.05350278553499982,535027.8553499982,0,0.9621848739495799
5,2,44,Albert Reed,Anna Trebunskaya,21.0,0.039035514418988435,390355.14418988436,1,0.09358288770053474
5,2,45,Helio Castroneves,Julianne Hough,27.0,0.2334956097678554,2334956.0976785542,0,0.9621848739495799
5,2,46,Mel B,Maksim Chmerkoskiy,23.0,0.08314942756431393,831494.2756431393,0,0.9621848739495799
5,2,47,Wayne Newton,Cheryl Burke,15.0,0.06424559845260189,642455.9845260188,0,0.9621848739495799
5,2,48,Marie Osmond,Jonathan Roberts,24.0,0.07697722665686076,769772.2665686075,0,0.9621848739495797
5,2,49,Mark Cuban,Kym Johnson,18.0,0.05164055643579517,516405.5643579517,0,0.9621848739495797
5,3,38,Cameron Mathison,Edyta Sliwinska,23.0,0.059344849976323145,593448.4997632315,0,1.0
5,3,39,Jane Seymour,Tony Dovolani,27.0,0.11188583285065207,1118858.3285065207,0,1.0
5,3,40,Sabrina Bryan,Mark Ballas,27.0,0.23063327480910764,2306332.7480910765,0,1.0
5,3,41,Jennie Garth,Derek Hough,26.0,0.0844086002481994,844086.0024819941,0,1.0
5,3,42,Floyd Mayweather Jr. ,Karina Smirnoff,21.0,0.052871637057617264,528716.3705761726,0,1.0
5,3,45,Helio Castroneves,Julianne Hough,24.0,0.1354824480099021,1354824.4800990212,0,1.0
5,3,46,Mel B,Maksim Chmerkoskiy,27.0,0.12593765929451267,1259376.5929451268,0,1.0
5,3,47,Wayne Newton,Cheryl Burke,18.0,0.05103274873987566,510327.48739875655,1,0.12468619246861927
5,3,48,Marie Osmond,Jonathan Roberts,26.0,0.09748108913556575,974810.8913556575,0,1.0
5,3,49,Mark Cuban,Kym Johnson,20.0,0.05092185987824422,509218.5987824422,0,1.0
5,4,38,Cameron Mathison,Edyta Sliwinska,27.0,0.07133164717875662,713316.4717875662,0,0.9957264957264957
5,4,39,Jane Seymour,Tony Dovolani,26.0,0.079045301643796,790453.01643796,0,0.9957264957264957
5,4,40,Sabrina Bryan,Mark Ballas,30.0,0.40467590037829576,4046759.003782958,0,0.9957264957264957
5,4,41,Jennie Garth,Derek Hough,27.0,0.08265706649171033,826570.6649171032,0,0.9957264957264957
5,4,42,Floyd Mayweather Jr. ,Karina Smirnoff,23.0,0.04678597459129031,467859.7459129031,1,0.1239316239316239
5,4,45,Helio Castroneves,Julianne Hough,27.0,0.1063853146812327,1063853.146812327,0,0.9957264957264957
