contestant_key,season,celebrity_name,age,age_z,region,country_group,industry,industry_consolidated,ballroom_partner,mean_J_z,mean_p_hat,mean_p_hat_z,max_week,eliminated_any,elim_week,duration,event,finalist
14||melissa gilbert||maksim chmerkoskiy,14,Melissa Gilbert,47,0.8328198757435421,West,US,Actor/Actress,Actor/Actress,Maksim Chmerkoskiy,-1.1025608782463017,0.039179474964347163,-0.5013594263380524,8,1,8.0,8,1,0
14||roshon fegan||chelsie hightower,14,Roshon Fegan,20,-1.2652213655081814,West,US,Actor/Actress,Actor/Actress,Chelsie Hightower,0.31442279596491185,0.0490960273187937,-0.4403220489682931,8,1,8.0,8,1,0
14||sherri sheperd||valentin chmerkovskiy,14,Sherri Sheperd,44,0.5997041822711283,Midwest,US,Actor/Actress,Actor/Actress,Valentin Chmerkovskiy,-0.3546672936232471,0.04695665310422072,-0.45349011248499216,4,1,4.0,4,1,0
14||william levy||cheryl burke,14,William Levy,31,-0.4104638227759978,International,International,Actor/Actress,Actor/Actress,Cheryl Burke,0.576001139136431,0.07122181803614562,-0.30413558119718626,10,0,,10,0,1
15||apolo anton ohno||karina smirnoff,15,Apolo Anton Ohno,30,-0.48816905393346904,West,US,Athlete,Athlete,Karina Smirnoff,0.3539942274360084,0.08129260381484399,-0.24214888158491718,9,1,9.0,9,1,0
15||bristol palin||mark ballas,15,Bristol Palin,21,-1.1875161343507104,West,US,TV Personality,Tv Personality,Mark Ballas,-1.6692927440758956,0.05046278375622097,-0.4319095255970642,4,1,4.0,4,1,0
15||drew lachey||anna trebunskaya,15,Drew Lachey,36,-0.02193766698864159,Midwest,US,Singer/Rapper,Singer/Rapper,Anna Trebunskaya,-0.3651068176766883,0.05286451359922426,-0.4171266367937925,3,1,3.0,3,1,0
15||emmitt smith||cheryl burke,15,Emmitt Smith,43,0.5219989511136571,South,US,Athlete,Athlete,Cheryl Burke,-0.07051728131164654,0.10593886017727702,-0.09044869420365288,9,1,9.0,9,1,0
15||gilles marini||peta murgatroyd,15,Gilles Marini,36,-0.02193766698864159,International,International,Actor/Actress,Actor/Actress,Peta Murgatroyd,0.5215452646788135,0.3184798883457412,1.2177627162930793,8,1,8.0,8,1,0
15||helio castroneves||chelsie hightower,15,Helio Castroneves,37,0.05576756416882966,International,International,Racing Driver,Other_Industry,Chelsie Hightower,0.09824414814060696,0.05223385710808093,-0.42100839094228387,3,1,3.0,3,1,0
15||joey fatone||kym johnson,15,Joey Fatone,35,-0.09964289814611284,Northeast,US,Singer/Rapper,Singer/Rapper,Kym Johnson,-0.3200852239634944,0.046526553435371445,-0.45613741921578255,2,1,2.0,2,1,0
15||kelly monaco||valentin chmerkovskiy,15,Kelly Monaco,36,-0.02193766698864159,Northeast,US,Actor/Actress,Actor/Actress,Valentin Chmerkovskiy,-0.2164378601589895,0.08417502354055813,-0.22440729819504437,10,0,,10,0,1
15||kirstie alley||maksim chmerkoskiy,15,Kirstie Alley,61,1.9206931119481394,Midwest,US,Actor/Actress,Actor/Actress,Maksim Chmerkoskiy,-1.3869435281677254,0.0551199444474334,-0.4032442330214968,8,1,8.0,8,1,0
15||melissa rycroft||tony dovolani,15,Melissa Rycroft,29,-0.5658742850909403,South,US,TV Personality,Tv Personality,Tony Dovolani,0.7529333750798621,0.1895367081998956,0.42410447051274963,10,0,,10,0,1
15||pamela anderson||tristan macmanus,15,Pamela Anderson,45,0.6774094134285996,International,International,Model,Model,Tristan MacManus,-2.226242229633609,0.0489210835920052,-0.44139884520642053,1,1,1.0,1,1,0
15||sabrina bryan||louis van amstel,15,Sabrina Bryan,28,-0.6435795162484116,West,US,Actor/Actress,Actor/Actress,Louis van Amstel,0.8112921495757011,0.09277847744889582,-0.1714521738618308,6,1,6.0,6,1,0
15||shawn johnson||derek hough,15,Shawn Johnson,20,-1.2652213655081814,Midwest,US,Athlete,Athlete,Derek Hough,0.448335720860147,0.13732095420180507,0.10271125162868022,10,0,,10,0,1
16||alexandra raisman||mark ballas,16,Alexandra Raisman,18,-1.420631827823124,Northeast,US,Athlete,Athlete,Mark Ballas,0.776857719353181,0.054984268587260424,-0.40407933159016735,10,1,10.0,10,1,0
16||andy dick||sharna burgess,16,Andy Dick,47,0.8328198757435421,South,US,Comedian,Comedian,Sharna Burgess,-0.9384035480217209,0.036715929090617626,-0.51652279902928,7,1,7.0,7,1,0
16||d. l. hughley||cheryl burke,16,D. L. Hughley,50,1.0659355692159558,South,US,Comedian,Comedian,Cheryl Burke,-1.4190895244437853,0.0369505676390687,-0.5150785751583821,5,1,5.0,5,1,0
16||dorothy hamill||tristan macmanus,16,Dorothy Hamill,56,1.5321669561607834,Midwest,US,Athlete,Athlete,Tristan MacManus,-0.4168718688026782,0.0668916069131555,-0.33078846628846137,2,0,,2,0,1
16||ingo rademacher||kym johnson,16,Ingo Rademacher,41,0.36658848879871464,International,International,Actor/Actress,Actor/Actress,Kym Johnson,-0.36366094796516096,0.040513763984545925,-0.4931467431861625,9,1,9.0,9,1,0
16||jacoby jones||karina smirnoff,16,Jacoby Jones,28,-0.6435795162484116,South,US,Athlete,Athlete,Karina Smirnoff,0.2682356448877679,0.04924727921186748,-0.43939107835013314,10,0,,10,0,1
16||kellie pickler||derek hough,16,Kellie Pickler,26,-0.7989899785633541,South,US,Singer/Rapper,Singer/Rapper,Derek Hough,0.9601991469604864,0.06020043701030322,-0.371973290187711,10,0,,10,0,1
16||lisa vanderpump||gleb savchenko,16,Lisa Vanderpump,52,1.2213460315308984,International,International,TV Personality,Tv Personality,Gleb Savchenko,-0.6379475505546572,0.041775777444787346,-0.4853789233768986,4,1,4.0,4,1,0
16||sean lowe||peta murgatroyd,16,Sean Lowe,29,-0.5658742850909403,South,US,TV Personality,Tv Personality,Peta Murgatroyd,-0.4175953636608739,0.03816391871054791,-0.5076102772474987,8,1,8.0,8,1,0
16||victor ortiz||lindsay arnold,16,Victor Ortiz,26,-0.7989899785633541,Midwest,US,Athlete,Athlete,Lindsay Arnold,-0.6974698395598389,0.03813752783653435,-0.5077727157320352,6,1,6.0,6,1,0
16||wynonna judd||tony dovolani,16,Wynonna Judd,48,0.9105251069010133,South,US,Singer/Rapper,Singer/Rapper,Tony Dovolani,-0.9386316056035637,0.0447104964761367,-0.4673154324994098,3,1,3.0,3,1,0
16||zendaya||valentin chmerkovskiy,16,Zendaya,16,-1.5760422901380664,West,US,Actor/Actress,Actor/Actress,Valentin Chmerkovskiy,1.0611306581323796,0.6580137604477645,3.3076278569751763,10,0,,10,0,1
17||amber riley||derek hough,17,Amber Riley,27,-0.7212847474058828,West,US,Actor/Actress,Actor/Actress,Derek Hough,0.7814168390295123,0.4613028988889902,2.096852714512521,11,0,,11,0,1
17||bill engvall||emma slater,17,Bill Engvall,56,1.5321669561607834,South,US,Comedian,Comedian,Emma Slater,-1.2243770185175515,0.05317340745870894,-0.41522536401322657,11,1,11.0,11,1,0
17||bill nye||tyne stecklein,17,Bill Nye,57,1.6098721873182544,South,US,TV Personality,Tv Personality,Tyne Stecklein,-1.978506880145756,0.04701100607151137,-0.4531555645032838,3,1,3.0,3,1,0
17||brant daugherty||peta murgatroyd,17,Brant Daugherty,28,-0.6435795162484116,Midwest,US,Actor/Actress,Actor/Actress,Peta Murgatroyd,0.2764726716802341,0.0548703397248213,-0.40478057519998767,8,1,8.0,8,1,0
17||christina milian||mark ballas,17,Christina Milian,31,-0.4104638227759978,Northeast,US,Singer/Rapper,Singer/Rapper,Mark Ballas,0.6152889517424633,0.061503724011832406,-0.36395142757960725,5,1,5.0,5,1,0
17||corbin bleu||karina smirnoff,17,Corbin Bleu,24,-0.9544004408782966,Northeast,US,Actor/Actress,Actor/Actress,Karina Smirnoff,0.8261969076254118,0.17848226972261808,0.35606328958298544,11,0,,11,0,1
17||elizabeth berkley lauren||valentin chmerkovskiy,17,Elizabeth Berkley Lauren,39,0.21117802648377215,Midwest,US,Actor/Actress,Actor/Actress,Valentin Chmerkovskiy,0.40193015856722686,0.07414847206734257,-0.28612173120699325,9,1,9.0,9,1,0
17||jack osbourne||cheryl burke,17,Jack Osbourne,27,-0.7212847474058828,International,International,TV Personality,Tv Personality,Cheryl Burke,0.23498988046021774,0.05758482668381053,-0.3880726348837321,11,0,,11,0,1
17||keyshawn johnson||sharna burgess,17,Keyshawn Johnson,41,0.36658848879871464,West,US,Athlete,Athlete,Sharna Burgess,-1.3577721557145686,0.047846989152990904,-0.4480100045349425,2,1,2.0,2,1,0
17||leah remini||tony dovolani,17,Leah Remini,43,0.5219989511136571,Northeast,US,Actor/Actress,Actor/Actress,Tony Dovolani,-0.2662020416496499,0.0525856087547862,-0.4188433241697824,10,1,10.0,10,1,0
"17||nicole ""snooki"" polizzi||sasha farber",17,"Nicole ""Snooki"" Polizzi",25,-0.8766952097208253,International,International,TV Personality,Tv Personality,Sasha Farber,0.11359451040553724,0.053357263781437125,-0.4140937098504625,7,1,7.0,7,1,0
17||valerie harper||tristan macmanus,17,Valerie Harper,74,2.9308611169952656,Northeast,US,Actor/Actress,Actor/Actress,Tristan MacManus,-1.297041614577143,0.04853026317558445,-0.4438043841869296,4,1,4.0,4,1,0
18||amy purdy||derek hough,18,Amy Purdy,34,-0.17734812930358407,West,US,Athlete,Athlete,Derek Hough,0.6909828483467917,0.07426963674170695,-0.28537595044683356,10,0,,10,0,1
18||billy dee williams||emma slater,18,Billy Dee Williams,76,3.0862715793102082,Northeast,US,Actor/Actress,Actor/Actress,Emma Slater,-2.3633142427369576,0.055815868367847146,-0.39896075127979147,2,0,,2,0,1
18||candace cameron bure||mark ballas,18,Candace Cameron Bure,37,0.05576756416882966,West,US,Actor/Actress,Actor/Actress,Mark Ballas,-0.7348085859934491,0.06176722330565515,-0.3623295629174888,10,0,,10,0,1
18||charlie white||sharna burgess,18,Charlie White,26,-0.7989899785633541,Midwest,US,Athlete,Athlete,Sharna Burgess,0.5130323631852644,0.23915902805202416,0.7295348413229398,9,1,9.0,9,1,0
18||cody simpson||witney carson,18,Cody Simpson,17,-1.4983370589805953,International,International,Singer/Rapper,Singer/Rapper,Witney Carson,-0.2204932846815046,0.048733836502324476,-0.4425513698808964,5,1,5.0,5,1,0
18||danica mckellar||valentin chmerkovskiy,18,Danica McKellar,39,0.21117802648377215,West,US,Actor/Actress,Actor/Actress,Valentin Chmerkovskiy,0.36019540237543995,0.06110752264441272,-0.3663900868548508,8,1,8.0,8,1,0
18||diana nyad||henry byalikov,18,Diana Nyad,64,2.153808805420553,Northeast,US,Athlete,Athlete,Henry Byalikov,-1.2241664794484033,0.0539803942157071,-0.4102582793391655,1,0,,1,0,1
18||drew carey||cheryl burke,18,Drew Carey,55,1.454461725003312,Midwest,US,Comedian,Comedian,Cheryl Burke,-0.9897811223136447,0.048452272921022534,-0.44428442204975843,6,1,6.0,6,1,0
18||james maslow||peta murgatroyd,18,James Maslow,23,-1.0321056720357678,Northeast,US,Actor/Actress,Actor/Actress,Peta Murgatroyd,0.16587323294146306,0.05967236371126376,-0.3752236344686962,10,1,10.0,10,1,0
18||meryl davis||maksim chmerkoskiy,18,Meryl Davis,27,-0.7212847474058828,Midwest,US,Athlete,Athlete,Maksim Chmerkoskiy,1.0136233239620445,0.42886980538885294,1.8972237611748313,10,0,,10,0,1
18||nene leakes||tony dovolani,18,NeNe Leakes,46,0.7551146445860708,Northeast,US,TV Personality,Tv Personality,Tony Dovolani,-0.6942059751305135,0.0457478007883681,-0.4609307201024086,7,1,7.0,7,1,0
18||sean avery||karina smirnoff,18,Sean Avery,33,-0.2550533604610553,International,International,Athlete,Athlete,Karina Smirnoff,-0.5020863660570622,0.04634435919697705,-0.45725884308226256,2,1,2.0,2,1,0
19||alfonso ribeiro||witney carson,19,Alfonso Ribeiro,42,0.4442937199561859,Northeast,US,Actor/Actress,Actor/Actress,Witney Carson,0.9372610411599509,0.49832063054128883,2.3247005769019835,11,0,,11,0,1
19||antonio sabato jr.||cheryl burke,19,Antonio Sabato Jr.,42,0.4442937199561859,International,International,Actor/Actress,Actor/Actress,Cheryl Burke,-0.6129721910597914,0.04537585512842287,-0.4632200830579666,7,1,7.0,7,1,0
19||bethany mota||derek hough,19,Bethany Mota,18,-1.420631827823124,West,US,Social Media Personality,Other_Industry,Derek Hough,0.643865939973109,0.10707813862104638,-0.08343632076820162,11,1,11.0,11,1,0
19||betsey johnson||tony dovolani,19,Betsey Johnson,72,2.775450654680323,Northeast,US,Fashion Designer,Other_Industry,Tony Dovolani,-0.9778484597860233,0.0440098157413079,-0.47162819291238633,4,1,4.0,4,1,0
19||janel parrish||valentin chmerkovskiy,19,Janel Parrish,25,-0.8766952097208253,West,US,Actor/Actress,Actor/Actress,Valentin Chmerkovskiy,0.7210326145936669,0.08276049588948312,-0.23311385819216987,11,0,,11,0,1
19||jonathan bennett||allison holker,19,Jonathan Bennett,33,-0.2550533604610553,Midwest,US,Actor/Actress,Actor/Actress,Allison Holker,-0.39413671825701213,0.0491064444529515,-0.440257930459564,6,1,6.0,6,1,0
19||lea thompson||artem chigvintsev,19,Lea Thompson,53,1.2990512626883695,Midwest,US,Actor/Actress,Actor/Actress,Artem Chigvintsev,0.471534260333281,0.08461388050026747,-0.22170608945800646,9,1,9.0,9,1,0
19||lolo jones||keo motsepe,19,Lolo Jones,32,-0.33275859161852656,Midwest,US,Athlete,Athlete,Keo Motsepe,-1.4761909287827202,0.0474484199954073,-0.45046323779685016,1,1,1.0,1,1,0
19||michael waltrip||emma slater,19,Michael Waltrip,51,1.143640800373427,South,US,Racing Driver,Other_Industry,Emma Slater,-1.3298769148655432,0.04528102416718077,-0.46380377716462606,8,1,8.0,8,1,0
19||randy couture||karina smirnoff,19,Randy Couture,51,1.143640800373427,West,US,Athlete,Athlete,Karina Smirnoff,-0.536464033112915,0.056387574688019665,-0.3954418413641494,3,1,3.0,3,1,0
19||sadie robertson||mark ballas,19,Sadie Robertson,17,-1.4983370589805953,South,US,TV Personality,Tv Personality,Mark Ballas,0.45789169692836856,0.0657255963810198,-0.3379653784171175,11,0,,11,0,1
19||tavis smiley||sharna burgess,19,Tavis Smiley,50,1.0659355692159558,South,US,Radio Personality,Other_Industry,Sharna Burgess,-0.31875714764902985,0.0512235184704072,-0.4272271268995733,2,1,2.0,2,1,0
19||tommy chong||peta murgatroyd,19,Tommy Chong,76,3.0862715793102082,International,International,Comedian,Comedian,Peta Murgatroyd,-0.9675240433757036,0.04761263098167417,-0.44945250265637193,10,1,10.0,10,1,0
1||evander holyfield||edyta sliwinska,1,Evander Holyfield,42,0.4442937199561859,South,US,Athlete,Athlete,Edyta Sliwinska,-1.143784126494331,0.06881584613244274,-0.318944580310825,3,1,3.0,3,1,0
1||joey mcintyre||ashly delgrosso,1,Joey McIntyre,32,-0.33275859161852656,Northeast,US,Singer/Rapper,Singer/Rapper,Ashly DelGrosso,-0.20034362134360445,0.24492214337222923,0.7650073959015549,5,0,,5,0,1
1||john o'hurley||charlotte jorgensen,1,John O'Hurley,50,1.0659355692159558,Northeast,US,Actor/Actress,Actor/Actress,Charlotte Jorgensen,0.40080542113727313,0.3847087611247943,1.6254080910261877,6,0,,6,0,1
1||kelly monaco||alec mazo,1,Kelly Monaco,29,-0.5658742850909403,Northeast,US,Actor/Actress,Actor/Actress,Alec Mazo,-0.1942919457753753,0.21174399151487255,0.5607925334205827,6,0,,6,0,1
1||rachel hunter||jonathan roberts,1,Rachel Hunter,35,-0.09964289814611284,International,International,Model,Model,Jonathan Roberts,0.8871781150632181,0.2159600188651305,0.5867426059035392,4,1,4.0,4,1,0
1||trista sutter||louis van amstel,1,Trista Sutter,32,-0.33275859161852656,Midwest,US,TV Personality,Tv Personality,Louis van Amstel,-0.17736141311162285,0.0631925767215008,-0.353556369249103,2,1,2.0,2,1,0
20||charlotte mckinney||keo motsepe,20,Charlotte McKinney,21,-1.1875161343507104,South,US,Model,Model,Keo Motsepe,-1.2658856867394344,0.045530694935559925,-0.4622670284677947,3,1,3.0,3,1,0
