season,week,contestant_id,celebrity_name,ballroom_partner,J_total,p_hat,V_hat,judge_share,fan_judge_gap,momentum,popularity_score,eliminated
1,3,0,John O'Hurley,Charlotte Jorgensen,24.0,0.4748286924815772,4748286.924815772,0.22641509433962265,0.24841359814195457,-5.551115123125783e-17,-1.4232659681564288,0
1,3,1,Kelly Monaco,Alec Mazo,21.0,0.07848865496291434,784886.5496291433,0.19811320754716982,-0.11962455258425549,0.035413167817897793,-2.3832659681564285,0
1,3,2,Evander Holyfield,Edyta Sliwinska,13.0,0.043075487145016536,430754.87145016534,0.12264150943396226,-0.07956602228894573,-0.0354131678178978,-2.167265968156429,1
1,3,3,Rachel Hunter,Jonathan Roberts,26.0,0.2605915115852018,2605915.115852018,0.24528301886792453,0.015308492717277244,-5.551115123125783e-17,-1.6392659681564286,0
1,3,4,Joey McIntyre,Ashly DelGrosso,22.0,0.14301565382529002,1430156.5382529001,0.20754716981132076,-0.06453151598603074,-2.7755575615628914e-17,-1.8552659681564285,0
1,4,0,John O'Hurley,Charlotte Jorgensen,21.0,0.2723219105420628,2723219.1054206276,0.22826086956521738,0.044061040976845406,-0.22388096241489208,-1.2875730120058666,0
1,4,1,Kelly Monaco,Alec Mazo,26.0,0.08202178323214179,820217.832321418,0.2826086956521739,-0.2005869124200321,-1.3877787807814457e-17,-2.4155730120058667,0
1,4,3,Rachel Hunter,Jonathan Roberts,25.0,0.14945343326884059,1494534.3326884059,0.2717391304347826,-0.12228569716594201,-0.1228684772732222,-1.5803730120058666,1
1,4,4,Joey McIntyre,Ashly DelGrosso,20.0,0.4962028729569548,4962028.729569548,0.21739130434782608,0.2788115686091287,0.3467494396881142,-1.8731730120058665,0
1,5,0,John O'Hurley,Charlotte Jorgensen,27.0,0.5405388318516456,5405388.3185164565,0.3698630136986301,0.17067581815301552,0.2203659910057214,-1.2902124931694767,0
1,5,1,Kelly Monaco,Alec Mazo,23.5,0.16280716746749876,1628071.6746749876,0.3219178082191781,-0.15911064075167933,0.06637296099321971,-2.432612493169477,0
1,5,4,Joey McIntyre,Ashly DelGrosso,22.5,0.29665400068085557,2966540.0068085557,0.3082191780821918,-0.011565177401336224,-0.28673895199894117,-1.6386924931694766,0
1,6,0,John O'Hurley,Charlotte Jorgensen,27.0,0.6456563062257954,6456563.062257954,0.4954128440366973,0.15024346218909812,-0.12286847727322214,-1.1552077545695183,0
1,6,1,Kelly Monaco,Alec Mazo,27.5,0.3543436937742046,3543436.937742046,0.5045871559633027,-0.15024346218909812,0.12286847727322223,-2.3091277545695186,0
2,1,6,Tatum O'Neal,Nick Kosovich,23.0,0.2482327316056116,2482327.316056116,0.11794871794871795,0.13028401365689365,0.1482327316056116,-2.3025850929940455,0
2,1,7,Tia Carrere,Maksim Chmerkoskiy,20.0,0.022519165350701146,225191.65350701145,0.10256410256410256,-0.08004493721340142,-0.07748083464929886,-2.3025850929940455,0
2,1,8,George Hamilton,Edyta Sliwinska,18.0,0.006782642260724999,67826.42260724999,0.09230769230769231,-0.08552505004696731,-0.093217357739275,-2.3025850929940455,0
2,1,9,Lisa Rinna,Louis van Amstel,19.0,0.012358779979590201,123587.79979590201,0.09743589743589744,-0.08507711745630724,-0.0876412200204098,-2.3025850929940455,0
2,1,10,Stacy Keibler,Tony Dovolani,22.0,0.07476626196676536,747662.6196676536,0.11282051282051282,-0.03805425085374746,-0.025233738033234643,-2.3025850929940455,0
2,1,11,Jerry Rice,Anna Trebunskaya,21.0,0.04103259455461508,410325.9455461508,0.1076923076923077,-0.06665971313769262,-0.058967405445384924,-2.3025850929940455,0
2,1,12,Giselle Fernandez,Jonathan Roberts,23.0,0.13623301156456505,1362330.1156456505,0.11794871794871795,0.018284293615847103,0.03623301156456504,-2.3025850929940455,0
2,1,13,Master P,Ashly DelGrosso,12.0,0.0037223929961489742,37223.92996148974,0.06153846153846154,-0.05781606854231257,-0.09627760700385103,-2.3025850929940455,0
2,1,14,Drew Lachey,Cheryl Burke,24.0,0.4523095271308761,4523095.271308761,0.12307692307692308,0.329232604053953,0.35230952713087604,-2.3025850929940455,0
2,1,15,Kenny Mayne,Andrea Hale,13.0,0.0020428925904014627,20428.925904014628,0.06666666666666667,-0.0646237740762652,-0.09795710740959854,-2.3025850929940455,1
2,2,6,Tatum O'Neal,Nick Kosovich,17.0,0.003730013012093481,37300.13012093481,0.085,-0.08126998698790652,-0.24501086949933065,-2.1207457821907085,1
2,2,7,Tia Carrere,Maksim Chmerkoskiy,22.0,0.022565263760838616,225652.63760838617,0.11,-0.08743473623916138,0.0,-2.6007457821907085,0
2,2,8,George Hamilton,Edyta Sliwinska,22.0,0.00679652683503676,67965.2683503676,0.11,-0.10320347316496324,0.0,-2.8407457821907087,0
2,2,9,Lisa Rinna,Louis van Amstel,20.0,0.01238407932347908,123840.79323479079,0.1,-0.08761592067652092,0.0,-2.7207457821907086,0
2,2,10,Stacy Keibler,Tony Dovolani,29.0,0.2487408825114241,2487408.825114241,0.145,0.1037408825114241,0.17382156843305008,-2.3607457821907083,0
2,2,11,Jerry Rice,Anna Trebunskaya,23.0,0.04111659133439467,411165.91334394674,0.115,-0.07388340866560533,-6.938893903907228e-18,-2.4807457821907084,0
2,2,12,Giselle Fernandez,Jonathan Roberts,24.0,0.13651189069456665,1365118.9069456665,0.12,0.016511890694566655,-2.7755575615628914e-17,-2.2407457821907086,0
2,2,13,Master P,Ashly DelGrosso,16.0,0.07491931407837403,749193.1407837403,0.08,-0.0050806859216259714,0.07118930106628055,-2.9607457821907084,0
2,2,14,Drew Lachey,Cheryl Burke,27.0,0.45323543844979247,4532354.384497925,0.135,0.31823543844979246,-5.551115123125783e-17,-2.0007457821907084,0
2,3,7,Tia Carrere,Maksim Chmerkoskiy,26.0,0.07519981034948459,751998.1034948459,0.14285714285714285,-0.06765733250765826,0.05255006273532452,-2.8388653371196844,0
2,3,8,George Hamilton,Edyta Sliwinska,22.0,0.012430445045243954,124304.45045243955,0.12087912087912088,-0.10844867583387692,0.005608472162586733,-3.2708653371196843,0
2,3,9,Lisa Rinna,Louis van Amstel,25.0,0.02264974761416007,226497.47614160072,0.13736263736263737,-0.1147128897484773,0.010219302568916117,-3.0548653371196846,0
2,3,10,Stacy Keibler,Tony Dovolani,27.0,0.24967216292790273,2496721.629279027,0.14835164835164835,0.10132051457625438,0.0,-2.166865337119684,0
2,3,11,Jerry Rice,Anna Trebunskaya,19.0,0.04127053095186113,412705.3095186113,0.1043956043956044,-0.06312507344374327,6.938893903907228e-18,-2.622865337119684,0
2,3,12,Giselle Fernandez,Jonathan Roberts,22.0,0.0068219728826572215,68219.72882657222,0.12087912087912088,-0.11405714799646366,-0.1302010153409394,-2.1908653371196842,1
2,3,13,Master P,Ashly DelGrosso,14.0,0.13702298822359663,1370229.8822359662,0.07692307692307693,0.0600999113005197,0.06182317787411204,-2.886865337119684,0
2,3,14,Drew Lachey,Cheryl Burke,27.0,0.45493234200509375,4549323.420050938,0.14835164835164835,0.3065806936534454,5.551115123125783e-17,-1.758865337119684,0
2,4,7,Tia Carrere,Maksim Chmerkoskiy,25.0,0.13796417609167216,1379641.7609167215,0.15822784810126583,-0.02026367200959367,0.0622478308884372,-2.788613583691321,0
2,4,8,George Hamilton,Edyta Sliwinska,21.0,0.012515827682296593,125158.27682296593,0.13291139240506328,-0.12039556472276669,1.734723475976807e-18,-3.494213583691321,0
2,4,9,Lisa Rinna,Louis van Amstel,26.0,0.04155401129004747,415540.1129004747,0.16455696202531644,-0.12300295073526898,0.018748686367686868,-3.201413583691321,0
2,4,10,Stacy Keibler,Tony Dovolani,26.0,0.2513871190370226,2513871.190370226,0.16455696202531644,0.08683015701170615,0.0,-2.0110135836913208,0
2,4,11,Jerry Rice,Anna Trebunskaya,24.0,0.07571634520323496,757163.4520323497,0.1518987341772152,-0.07618238897398023,0.0341623339131875,-2.7358135836913204,0
2,4,13,Master P,Ashly DelGrosso,8.0,0.022805324922360603,228053.24922360602,0.05063291139240506,-0.02782758647004446,-0.11515885116931153,-2.7070135836913205,1
2,4,14,Drew Lachey,Cheryl Burke,28.0,0.4580571957733656,4580571.957733656,0.17721518987341772,0.2808420058999479,5.551115123125783e-17,-1.5646135836913206,0
2,5,7,Tia Carrere,Maksim Chmerkoskiy,22.0,0.07667600891822166,766760.0891822166,0.1456953642384106,-0.06901935532018894,-0.0645079123722937,-2.627043111165812,1
2,5,8,George Hamilton,Edyta Sliwinska,24.0,0.023094370078696757,230943.70078696756,0.15894039735099338,-0.13584602727229664,0.010286453701847699,-3.671523111165812,0
2,5,9,Lisa Rinna,Louis van Amstel,25.0,0.042080685903569386,420806.85903569387,0.16556291390728478,-0.12348222800371539,-0.0004430940042017481,-3.197283111165812,0
2,5,10,Stacy Keibler,Tony Dovolani,30.0,0.2545733147772862,2545733.1477728616,0.1986754966887417,0.055897818088544465,-0.0026805625190156612,-1.8849631111658118,0
2,5,11,Jerry Rice,Anna Trebunskaya,23.0,0.13971279738880202,1397127.9738880203,0.152317880794702,-0.01260508340589997,0.062229418555184046,-2.7048031111658117,0
2,5,14,Drew Lachey,Cheryl Burke,27.0,0.463862822933424,4638628.22933424,0.17880794701986755,0.2850548759135565,-0.00488430336152057,-1.4078431111658116,0
2,6,8,George Hamilton,Edyta Sliwinska,23.0,0.043075487145016536,430754.87145016534,0.17293233082706766,-0.12985684368205114,0.018063280918641875,-3.690851771071802,1
2,6,9,Lisa Rinna,Louis van Amstel,27.0,0.07848865496291434,784886.5496291433,0.20300751879699247,-0.12451886383407813,0.03291344375859254,-3.191459771071802,0
2,6,10,Stacy Keibler,Tony Dovolani,30.0,0.2605915115852018,2605915.115852018,0.22556390977443608,0.035027601810765696,-0.015122449317108155,-1.7816037710718013,0
2,6,11,Jerry Rice,Anna Trebunskaya,23.0,0.14301565382529002,1430156.5382529001,0.17293233082706766,-0.029916677001777636,-0.00829937615147111,-2.5574757710718012,0
2,6,14,Drew Lachey,Cheryl Burke,30.0,0.4748286924815772,4748286.924815772,0.22556390977443608,0.24926478270714114,-0.02755489920865528,-1.2799077710718012,0
2,7,9,Lisa Rinna,Louis van Amstel,26.5,0.08202178323214179,820217.832321418,0.25980392156862747,-0.17778213833648568,-1.3877787807814457e-17,-3.0621280543381655,1
2,7,10,Stacy Keibler,Tony Dovolani,27.5,0.2723219105420628,2723219.1054206276,0.2696078431372549,0.002714067404807896,0.0,-1.6942432543381647,0
2,7,11,Jerry Rice,Anna Trebunskaya,20.5,0.14945343326884059,1494534.3326884059,0.20098039215686275,-0.05152695888802217,2.7755575615628914e-17,-2.4349408543381648,0
2,7,14,Drew Lachey,Cheryl Burke,27.5,0.4962028729569548,4962028.729569548,0.2696078431372549,0.22659502981969992,-5.551115123125783e-17,-1.1728864543381645,0
2,8,10,Stacy Keibler,Tony Dovolani,28.6665,0.29665400068085557,2966540.0068085557,0.33992071896021603,-0.04326671827936046,0.0,-1.615548687035315,0
2,8,11,Jerry Rice,Anna Trebunskaya,26.666600000000003,0.16280716746749876,1628071.6746749876,0.31620636785880724,-0.15339920039130847,-2.7755575615628914e-17,-2.3281067670353153,0
2,8,14,Drew Lachey,Cheryl Burke,28.9998,0.5405388318516456,5405388.3185164565,0.34387291318097685,0.1966659186706688,0.0,-1.078463247035315,0
3,1,16,Harry Hamlin,Ashly DelGrosso,17.0,0.06941360277972945,694136.0277972945,0.08018867924528301,-0.010775076465553562,-0.02149548812936146,-2.3978952727983707,0
3,1,17,Vivica A. Fox,Nick Kosovich,22.0,0.09976115678577742,997611.5678577742,0.10377358490566038,-0.004012428119882963,0.008852065876686507,-2.3978952727983707,0
3,1,18,Monique Coleman,Louis van Amstel,19.0,0.07721002459620811,772100.2459620811,0.08962264150943396,-0.012412616913225843,-0.013699066312882799,-2.3978952727983707,0
3,1,19,Joey Lawrence,Edyta Sliwinska,21.0,0.09031119256965493,903111.9256965494,0.09905660377358491,-0.008745411203929979,-0.0005978983394359788,-2.3978952727983707,0
3,1,20,Mario Lopez,Karina Smirnoff,26.0,0.17215711431218372,1721571.1431218372,0.12264150943396226,0.04951560487822146,0.08124802340309281,-2.3978952727983707,0
3,1,21,Emmitt Smith,Cheryl Burke,24.0,0.1274871949402851,1274871.949402851,0.11320754716981132,0.014279647770473775,0.036578104031194186,-2.3978952727983707,0
3,1,22,Shanna Moakler,Jesse DeSoto,18.0,0.07280716857175219,728071.6857175219,0.08490566037735849,-0.012098491805606293,-0.01810192233733872,-2.3978952727983707,0
3,1,23,Willa Ford,Maksim Chmerkoskiy,22.0,0.0997611572069846,997611.572069846,0.10377358490566038,-0.004012427698675783,0.008852066297893688,-2.3978952727983707,0
3,1,24,Sara Evans,Tony Dovolani,15.0,0.06446579808153546,644657.9808153546,0.07075471698113207,-0.00628891889959661,-0.026443292827555448,-2.3978952727983707,0
3,1,25,Jerry Springer,Kym Johnson,16.0,0.06668063555953344,666806.3555953343,0.07547169811320754,-0.008791062553674109,-0.024228455349557476,-2.3978952727983707,0
3,1,26,Tucker Carlson,Elena Grinenko,12.0,0.05994495459635553,599449.5459635553,0.05660377358490566,0.0033411810114498675,-0.030964136312735382,-2.3978952727983707,1
3,2,16,Harry Hamlin,Ashly DelGrosso,21.0,0.05223678098415676,522367.8098415676,0.09130434782608696,-0.0390675668419302,-0.021603153303866106,-2.451850703279564,0
3,2,17,Vivica A. Fox,Nick Kosovich,24.0,0.08708555919566856,870855.5919566855,0.10434782608695652,-0.01726226689128796,-0.01903711657055915,-2.379311494636729,0
3,2,18,Monique Coleman,Louis van Amstel,26.0,0.06854960716844379,685496.0716844378,0.11304347826086956,-0.04449387109242578,-0.01358390721853063,-2.430561413858496,0
3,2,19,Joey Lawrence,Edyta Sliwinska,29.0,0.15821978024498187,1582197.8024498187,0.12608695652173912,0.03213282372324275,0.06214966923262433,-2.3992149937422083,0
3,2,20,Mario Lopez,Karina Smirnoff,21.0,0.23331581921085173,2333158.1921085175,0.09130434782608696,0.14201147138476478,0.05018067712110075,-2.270185771001036,0
3,2,21,Emmitt Smith,Cheryl Burke,24.0,0.1657442182253683,1657442.182253683,0.10434782608695652,0.06139639213841179,0.030127484329169535,-2.330264088492331,0
3,2,22,Shanna Moakler,Jesse DeSoto,22.0,0.04638349714822781,463834.9714822781,0.09565217391304348,-0.04926867676481567,-0.031066402118564575,-2.4423043900857144,1
3,2,23,Willa Ford,Maksim Chmerkoskiy,23.0,0.07830643917801944,783064.3917801944,0.1,-0.021693560821980568,-0.027816237036274782,-2.3793114937922977,0
3,2,24,Sara Evans,Tony Dovolani,21.0,0.05073132323518433,507313.2323518433,0.09130434782608696,-0.040573024590902625,-0.017845297247560794,-2.4666403098628886,0
3,2,25,Jerry Springer,Kym Johnson,19.0,0.05942697540909738,594269.7540909738,0.08260869565217391,-0.023181720243076527,-0.011505717187538657,-2.4598843561703494,0
3,3,16,Harry Hamlin,Ashly DelGrosso,22.0,0.04751232090652297,475123.2090652297,0.10628019323671498,-0.058767872330192004,-0.007265234670528864,-2.5518742457565535,1
3,3,17,Vivica A. Fox,Nick Kosovich,27.0,0.1260834264097315,1260834.264097315,0.13043478260869565,-0.004351356198964151,0.034762063015494046,-2.3916220366206296,0
3,3,18,Monique Coleman,Louis van Amstel,27.0,0.0778617566600634,778617.566600634,0.13043478260869565,-0.05257302594863225,0.005977926039004003,-2.4804886518017106,0
3,3,19,Joey Lawrence,Edyta Sliwinska,22.0,0.12040191614629908,1204019.1614629908,0.10628019323671498,0.014121722909584106,-0.04551360625901649,-2.288126034655858,0
3,3,20,Mario Lopez,Karina Smirnoff,22.0,0.3592255703061668,3592255.703061668,0.10628019323671498,0.25294537706945186,0.11456136985124055,-2.1072210759906183,0
3,3,21,Emmitt Smith,Cheryl Burke,19.0,0.10337429789875188,1033742.9789875188,0.09178743961352658,0.011586858285225307,-0.07043164791878939,-2.223673177399089,0
3,3,23,Willa Ford,Maksim Chmerkoskiy,22.0,0.06123346525443052,612334.6525443052,0.10628019323671498,-0.04504672798228446,-0.02088176549487543,-2.41287428345374,0
3,3,24,Sara Evans,Tony Dovolani,25.0,0.05196400763711463,519640.0763711463,0.12077294685990338,-0.06880893922278875,-0.0012348653726049694,-2.569554596663244,0
3,3,25,Jerry Springer,Kym Johnson,21.0,0.0523432387809191,523432.387809191,0.10144927536231885,-0.04910603658139975,-0.009974239189923614,-2.5325088897830272,0
3,4,17,Vivica A. Fox,Nick Kosovich,24.0,0.03809765733075067,380976.5733075067,0.12121212121212122,-0.08311446388137055,-0.09427510630408233,-2.327459924650247,1
3,4,18,Monique Coleman,Louis van Amstel,24.0,0.047481648976546185,474816.4897654619,0.12121212121212122,-0.07373047223557502,-0.03426403484601805,-2.494954996496564,0
3,4,19,Joey Lawrence,Edyta Sliwinska,27.0,0.07131920604816182,713192.0604816182,0.13636363636363635,-0.06504443031547454,-0.055088640256885105,-2.2538847940042235,0
3,4,20,Mario Lopez,Karina Smirnoff,29.0,0.6325542737236972,6325542.737236972,0.14646464646464646,0.48608962725905075,0.2554096888739939,-1.8905378124458103,0
3,4,21,Emmitt Smith,Cheryl Burke,24.0,0.05734209319159849,573420.931915985,0.12121212121212122,-0.06387002802052272,-0.051188757304166034,-2.232818325409457,0
3,4,23,Willa Ford,Maksim Chmerkoskiy,28.0,0.04670677576471406,467067.7576471406,0.1414141414141414,-0.09470736564942735,-0.017581158450570497,-2.488911710969277,0
3,4,24,Sara Evans,Tony Dovolani,20.0,0.058299677532770856,582996.7753277086,0.10101010101010101,-0.04271042347733015,0.003743583236022592,-2.64708446950646,0
3,4,25,Jerry Springer,Kym Johnson,22.0,0.048198667431760774,481986.6743176077,0.1111111111111111,-0.06291244367935034,-0.006755574948294353,-2.6159936126551973,0
3,5,18,Monique Coleman,Louis van Amstel,27.0,0.037432526225680725,374325.26225680724,0.14917127071823205,-0.11173874449255133,-0.011929708244802079,-2.6054463931822323,0
3,5,19,Joey Lawrence,Edyta Sliwinska,25.0,0.04067007468126112,406700.7468126112,0.13812154696132597,-0.09745147228006486,-0.033473840854128065,-2.331225758862561,0
3,5,20,Mario Lopez,Karina Smirnoff,27.0,0.7658763276227337,7658763.276227337,0.14917127071823205,0.6167050569045016,0.10826874558027966,-1.6040281007172423,0
3,5,21,Emmitt Smith,Cheryl Burke,27.0,0.041417776627076505,414177.76627076505,0.14917127071823205,-0.10775349409115555,-0.018195440482340175,-2.357998723184,0
3,5,23,Willa Ford,Maksim Chmerkoskiy,27.0,0.027151374524176538,271513.7452417654,0.14917127071823205,-0.12201989619405551,-0.02140529666045141,-2.6039025754775245,1
3,5,24,Sara Evans,Tony Dovolani,24.0,0.04372596015953567,437259.6015953567,0.13259668508287292,-0.08887072492333725,-0.01688276792713375,-2.6860993189674276,0
3,5,25,Jerry Springer,Kym Johnson,24.0,0.043725960159535664,437259.60159535665,0.13259668508287292,-0.08887072492333725,-0.006381691411424181,-2.6992796711145033,0
3,6,18,Monique Coleman,Louis van Amstel,23.0,0.035285768115956136,352857.6811595614,0.19491525423728814,-0.15962948612133201,-0.005002266632327737,-2.741400168013797,0
3,6,19,Joey Lawrence,Edyta Sliwinska,24.0,0.03617047607743695,361704.7607743695,0.2033898305084746,-0.16721935443103764,-0.007602080765115579,-2.505433151648199,0
3,6,20,Mario Lopez,Karina Smirnoff,28.0,0.8560024353829195,8560024.353829196,0.23728813559322035,0.6187142997896992,0.03170188152438502,-1.3365693954669933,0
3,6,21,Emmitt Smith,Cheryl Burke,25.0,0.03660270415012115,366027.0415012115,0.211864406779661,-0.17526170262953986,-0.007974592447177173,-2.523207999183938,0
3,6,25,Jerry Springer,Kym Johnson,18.0,0.03593861627356619,359386.1627356619,0.15254237288135594,-0.11660375660778975,-0.011122941679764624,-2.785386396744976,0
3,7,18,Monique Coleman,Louis van Amstel,27.0,0.03473884748349416,347388.47483494156,0.2,-0.16526115251650586,-0.000546920632461978,-2.8619752475824827,0
3,7,19,Joey Lawrence,Edyta Sliwinska,28.5,0.03625821303233944,362582.13032339443,0.2111111111111111,-0.17485289807877166,8.77369549024884e-05,-2.668248935495844,0
3,7,20,Mario Lopez,Karina Smirnoff,28.0,0.8584849555440692,8584849.555440692,0.2074074074074074,0.6510775481366619,0.0024825201611496928,-1.1003519279277822,0
3,7,21,Emmitt Smith,Cheryl Burke,28.5,0.03619768721294675,361976.8721294675,0.2111111111111111,-0.17491342389816436,-0.0004050169371744017,-2.680093030831351,0
3,7,25,Jerry Springer,Kym Johnson,23.0,0.034320296727150375,343202.96727150376,0.17037037037037037,-0.13605007364322,-0.0016183195464158154,-2.89349769727231,1
3,8,18,Monique Coleman,Louis van Amstel,26.5,0.03565532016298297,356553.2016298297,0.24311926605504589,-0.2074639458920629,-0.0003181474016333355,-2.961559536907789,1
3,8,19,Joey Lawrence,Edyta Sliwinska,27.0,0.036102484375214766,361024.8437521477,0.24770642201834864,-0.21160393764313387,-0.0014443470529019314,-2.798017019783552,0
3,8,20,Mario Lopez,Karina Smirnoff,28.5,0.8921340961081246,8921340.961081246,0.26146788990825687,0.6306662061998677,0.003138549619448816,-0.9107987669256034,0
3,8,21,Emmitt Smith,Cheryl Burke,27.0,0.03610809935367774,361080.9935367774,0.24770642201834864,-0.2115983226646709,-0.0013760551649134103,-2.8078264349323865,0
3,9,19,Joey Lawrence,Edyta Sliwinska,29.5,0.043958483843597386,439584.83843597386,0.3333333333333333,-0.2893748494897359,0.006521159689627451,-2.902692335177484,0
3,9,20,Mario Lopez,Karina Smirnoff,29.5,0.9121016053936649,9121016.05393665,0.3333333333333333,0.5787682720603315,-0.013017923713814827,-0.7514667786886955,0
3,9,21,Emmitt Smith,Cheryl Burke,29.5,0.04393991076273771,439399.10762737715,0.3333333333333333,-0.2893934225705956,0.006496764024187418,-2.9105087639419778,0
3,10,20,Mario Lopez,Karina Smirnoff,29.666600000000003,0.9459167937650389,9459167.937650388,0.5,0.4459167937650389,-0.008122952396413918,-0.6195742000890557,0
3,10,21,Emmitt Smith,Cheryl Burke,29.666600000000003,0.054083206234961094,540832.062349611,0.5,-0.4459167937650389,0.008122952396413974,-2.953393459736928,0
4,1,27,John Ratzenberger,Edyta Sliwinska,17.0,0.06966712847970084,696671.2847970084,0.0825242718446602,-0.012857143364959356,-0.02124196242939007,-2.3978952727983707,0
4,1,28,Ian Ziering,Cheryl Burke,21.0,0.10060377686745292,1006037.7686745292,0.10194174757281553,-0.0013379707053626094,0.00969468595836201,-2.3978952727983707,0
4,1,29,Clyde Drexler,Elena Grinenko,16.0,0.06622187813948918,662218.7813948918,0.07766990291262135,-0.01144802477313217,-0.02468721276960173,-2.3978952727983707,0
4,1,30,Laila Ali,Maksim Chmerkoskiy,23.0,0.13747067468487298,1374706.7468487297,0.11165048543689321,0.02582018924797977,0.04656158377578207,-2.3978952727983707,0
4,1,31,Apolo Anton Ohno,Julianne Hough,21.0,0.10060377790998576,1006037.7790998576,0.10194174757281553,-0.0013379696628297716,0.009694687000894847,-2.3978952727983707,0
4,1,32,Shandi Finnessey,Brian Fortuna,19.0,0.0805533489018204,805533.489018204,0.09223300970873786,-0.011679660806917458,-0.010355742007270505,-2.3978952727983707,0
4,1,33,Paulina Porizkova,Alec Mazo,19.0,0.08055334890182042,805533.4890182042,0.09223300970873786,-0.011679660806917444,-0.010355742007270491,-2.3978952727983707,0
4,1,34,Heather Mills,Jonathan Roberts,18.0,0.07435230047369842,743523.0047369843,0.08737864077669903,-0.013026340303000608,-0.016556790435392488,-2.3978952727983707,0
4,1,35,Billy Ray Cyrus,Karina Smirnoff,13.0,0.06020729395276949,602072.939527695,0.06310679611650485,-0.002899502163735364,-0.03070179695632142,-2.3978952727983707,0
4,1,36,Joey Fatone,Kym Johnson,24.0,0.1660990577669907,1660990.577669907,0.11650485436893204,0.049594203398058645,0.07518996685789978,-2.3978952727983707,0
4,1,37,Leeza Gibbons,Tony Dovolani,15.0,0.06366741392139887,636674.1392139887,0.07281553398058252,-0.009148120059183654,-0.027241676987692046,-2.3978952727983707,0
4,2,27,John Ratzenberger,Edyta Sliwinska,21.0,0.04546933863466597,454693.3863466597,0.08571428571428572,-0.040244947079619744,-0.024197789845034873,-2.4511215556011323,0
4,2,28,Ian Ziering,Cheryl Burke,22.0,0.05818629052138919,581862.9052138919,0.08979591836734693,-0.03160962784595774,-0.04241748634606373,-2.3776293139601345,0
4,2,29,Clyde Drexler,Elena Grinenko,18.0,0.05288389450125214,528838.9450125213,0.07346938775510205,-0.02058549325384991,-0.013337983638237044,-2.461265095268037,0
4,2,30,Laila Ali,Maksim Chmerkoskiy,27.0,0.2842373173737117,2842373.173737117,0.11020408163265306,0.17403323574105867,0.14676664268883874,-2.31518515016689,0
4,2,31,Apolo Anton Ohno,Julianne Hough,26.0,0.0836279199442873,836279.199442873,0.10612244897959183,-0.022494529035304536,-0.016975857965698463,-2.377629311887582,0
4,2,32,Shandi Finnessey,Brian Fortuna,20.0,0.04787617530540887,478761.75305408874,0.08163265306122448,-0.03375647775581561,-0.032677173596411535,-2.4220833371950556,0
4,2,33,Paulina Porizkova,Alec Mazo,21.0,0.04063899654206847,406389.9654206847,0.08571428571428572,-0.045075289172217245,-0.03991435235975195,-2.4220833371950556,1
4,2,34,Heather Mills,Jonathan Roberts,24.0,0.04923507646715667,492350.7646715667,0.09795918367346938,-0.04872410720631271,-0.025117224006541754,-2.4381043513217877,0
4,2,35,Billy Ray Cyrus,Karina Smirnoff,21.0,0.043590037113941806,435900.37113941804,0.08571428571428572,-0.04212424860034391,-0.016617256838827685,-2.480308572638846,0
